,Date,Close,name
319,2016-04-07,15.156,stribro
320,2016-04-08,15.382,stribro
321,2016-04-11,15.974,stribro
322,2016-04-12,16.219998999999998,stribro
323,2016-04-13,16.323,stribro
324,2016-04-14,16.169001,stribro
325,2016-04-15,16.309,stribro
326,2016-04-18,16.249001,stribro
327,2016-04-19,16.968,stribro
328,2016-04-20,17.131001,stribro
329,2016-04-21,17.086,stribro
330,2016-04-22,16.896,stribro
331,2016-04-25,17.004998999999998,stribro
332,2016-04-26,17.106001000000003,stribro
333,2016-04-27,17.285999,stribro
334,2016-04-28,17.552999,stribro
335,2016-04-29,17.789,stribro
336,2016-05-02,17.656,stribro
337,2016-05-03,17.474001,stribro
338,2016-05-04,17.277,stribro
339,2016-05-05,17.302,stribro
340,2016-05-06,17.507,stribro
341,2016-05-09,17.07,stribro
342,2016-05-10,17.075001,stribro
343,2016-05-11,17.302,stribro
344,2016-05-12,17.087,stribro
345,2016-05-13,17.115,stribro
346,2016-05-16,17.142,stribro
347,2016-05-17,17.235001,stribro
348,2016-05-18,17.120001000000002,stribro
349,2016-05-19,16.479,stribro
350,2016-05-20,16.518998999999997,stribro
351,2016-05-23,16.41,stribro
352,2016-05-24,16.238001,stribro
353,2016-05-25,16.254998999999998,stribro
354,2016-05-26,16.337999,stribro
355,2016-05-27,16.246,stribro
356,2016-05-31,15.972,stribro
357,2016-06-01,15.906,stribro
358,2016-06-02,16.004998999999998,stribro
359,2016-06-03,16.346001,stribro
360,2016-06-06,16.427999,stribro
361,2016-06-07,16.377001,stribro
362,2016-06-08,16.968,stribro
363,2016-06-09,17.253,stribro
364,2016-06-10,17.315001000000002,stribro
365,2016-06-13,17.427999,stribro
366,2016-06-14,17.41,stribro
367,2016-06-15,17.489,stribro
368,2016-06-16,17.594,stribro
369,2016-06-17,17.4,stribro
370,2016-06-20,17.503,stribro
371,2016-06-21,17.311001,stribro
372,2016-06-22,17.305,stribro
373,2016-06-23,17.348,stribro
374,2016-06-24,17.785,stribro
375,2016-06-27,17.74,stribro
376,2016-06-28,17.839001,stribro
377,2016-06-29,18.362,stribro
378,2016-06-30,18.582001,stribro
379,2016-07-01,19.544001,stribro
380,2016-07-05,19.865999,stribro
381,2016-07-06,20.16,stribro
382,2016-07-07,19.798,stribro
383,2016-07-08,20.058001,stribro
384,2016-07-11,20.264,stribro
385,2016-07-12,20.129998999999998,stribro
386,2016-07-13,20.370001000000002,stribro
387,2016-07-14,20.281,stribro
388,2016-07-15,20.125,stribro
389,2016-07-18,20.044001,stribro
390,2016-07-19,19.975,stribro
391,2016-07-20,19.582001,stribro
392,2016-07-21,19.784,stribro
393,2016-07-22,19.657,stribro
394,2016-07-25,19.615,stribro
395,2016-07-26,19.655001000000002,stribro
396,2016-07-27,19.965,stribro
397,2016-07-28,20.16,stribro
398,2016-07-29,20.312,stribro
399,2016-08-01,20.465,stribro
400,2016-08-02,20.666,stribro
401,2016-08-03,20.436001,stribro
402,2016-08-04,20.406,stribro
403,2016-08-05,19.780001000000002,stribro
404,2016-08-08,19.768,stribro
405,2016-08-09,19.813999,stribro
406,2016-08-10,20.134001,stribro
407,2016-08-11,19.983999,stribro
408,2016-08-12,19.672001,stribro
409,2016-08-15,19.820999,stribro
410,2016-08-16,19.848,stribro
411,2016-08-17,19.627001,stribro
412,2016-08-18,19.719998999999998,stribro
413,2016-08-19,19.301001,stribro
414,2016-08-22,18.843,stribro
415,2016-08-23,18.91,stribro
416,2016-08-24,18.545,stribro
417,2016-08-25,18.478001000000003,stribro
418,2016-08-26,18.645,stribro
419,2016-08-29,18.761999,stribro
420,2016-08-30,18.577,stribro
421,2016-08-31,18.622,stribro
422,2016-09-01,18.857,stribro
423,2016-09-02,19.275999,stribro
424,2016-09-06,20.049,stribro
425,2016-09-07,19.759001,stribro
426,2016-09-08,19.591,stribro
427,2016-09-09,19.282,stribro
428,2016-09-12,18.915001,stribro
429,2016-09-13,18.889999,stribro
430,2016-09-14,18.982,stribro
431,2016-09-15,18.959,stribro
432,2016-09-16,18.781,stribro
433,2016-09-19,19.205999,stribro
434,2016-09-20,19.195,stribro
435,2016-09-21,19.686001,stribro
436,2016-09-22,20.02,stribro
437,2016-09-23,19.733,stribro
438,2016-09-26,19.516001,stribro
439,2016-09-27,19.087,stribro
440,2016-09-28,19.044001,stribro
441,2016-09-29,19.115,stribro
442,2016-09-30,19.139,stribro
443,2016-10-03,18.795,stribro
444,2016-10-04,17.712999,stribro
445,2016-10-05,17.634001,stribro
446,2016-10-06,17.288,stribro
447,2016-10-07,17.323999,stribro
448,2016-10-11,17.455999,stribro
449,2016-10-12,17.455,stribro
450,2016-10-13,17.41,stribro
451,2016-10-14,17.393,stribro
452,2016-10-17,17.426001,stribro
453,2016-10-18,17.591,stribro
454,2016-10-19,17.615999,stribro
455,2016-10-20,17.502001,stribro
456,2016-10-21,17.448,stribro
457,2016-10-24,17.562,stribro
458,2016-10-25,17.736,stribro
459,2016-10-26,17.584999,stribro
460,2016-10-27,17.604,stribro
461,2016-10-28,17.761999,stribro
462,2016-10-31,17.761999,stribro
463,2016-11-01,18.385,stribro
464,2016-11-02,18.66,stribro
465,2016-11-03,18.382998999999998,stribro
466,2016-11-04,18.341998999999998,stribro
467,2016-11-07,18.124001,stribro
468,2016-11-08,18.33,stribro
469,2016-11-09,18.357,stribro
470,2016-11-10,18.716,stribro
471,2016-11-14,16.877001,stribro
472,2016-11-15,17.028999,stribro
473,2016-11-16,16.914,stribro
474,2016-11-17,16.761,stribro
475,2016-11-18,16.613001,stribro
476,2016-11-21,16.511999,stribro
477,2016-11-22,16.622999,stribro
478,2016-11-23,16.382998999999998,stribro
479,2016-11-25,16.464001,stribro
480,2016-11-28,16.577999,stribro
481,2016-11-29,16.660999,stribro
482,2016-11-30,16.406,stribro
483,2016-12-01,16.427,stribro
484,2016-12-02,16.753,stribro
485,2016-12-05,16.823999,stribro
486,2016-12-06,16.74,stribro
487,2016-12-07,17.202999,stribro
488,2016-12-08,17.025,stribro
489,2016-12-09,16.896998999999997,stribro
490,2016-12-12,17.115999,stribro
491,2016-12-13,16.910999,stribro
492,2016-12-14,17.152,stribro
493,2016-12-15,15.897,stribro
494,2016-12-16,16.153,stribro
495,2016-12-19,16.025999,stribro
496,2016-12-20,16.054001,stribro
497,2016-12-21,15.918,stribro
498,2016-12-22,15.815,stribro
499,2016-12-23,15.704,stribro
500,2016-12-27,15.929,stribro
501,2016-12-28,15.988,stribro
502,2016-12-29,16.163,stribro
503,2016-12-30,15.936,stribro
504,2017-01-03,16.356001000000003,stribro
505,2017-01-04,16.499001,stribro
506,2017-01-05,16.584,stribro
507,2017-01-06,16.466,stribro
508,2017-01-09,16.629998999999998,stribro
509,2017-01-10,16.802999,stribro
510,2017-01-11,16.783001000000002,stribro
511,2017-01-12,16.780001000000002,stribro
512,2017-01-13,16.719998999999998,stribro
513,2017-01-17,17.101999,stribro
514,2017-01-18,17.235001,stribro
515,2017-01-19,16.966998999999998,stribro
516,2017-01-20,16.997,stribro
517,2017-01-23,17.15,stribro
518,2017-01-24,17.149,stribro
519,2017-01-25,16.944,stribro
520,2017-01-26,16.813999,stribro
521,2017-01-27,17.1,stribro
522,2017-01-30,17.122,stribro
523,2017-01-31,17.511999,stribro
524,2017-02-01,17.42,stribro
525,2017-02-02,17.402,stribro
526,2017-02-03,17.452999,stribro
527,2017-02-06,17.667,stribro
528,2017-02-07,17.733,stribro
529,2017-02-08,17.683001,stribro
530,2017-02-09,17.719998999999998,stribro
531,2017-02-10,17.912001,stribro
532,2017-02-13,17.804001,stribro
533,2017-02-14,17.872,stribro
534,2017-02-15,17.947001,stribro
535,2017-02-16,18.063,stribro
536,2017-02-17,18.018998999999997,stribro
537,2017-02-21,17.99,stribro
538,2017-02-22,17.941999,stribro
539,2017-02-23,18.113001,stribro
540,2017-02-24,18.334999,stribro
541,2017-02-27,18.354,stribro
542,2017-02-28,18.42,stribro
543,2017-03-01,18.443001000000002,stribro
544,2017-03-02,17.705,stribro
545,2017-03-03,17.697001,stribro
546,2017-03-06,17.725,stribro
547,2017-03-07,17.492001000000002,stribro
548,2017-03-08,17.257,stribro
549,2017-03-09,16.993,stribro
550,2017-03-10,16.882998999999998,stribro
551,2017-03-13,16.934998999999998,stribro
552,2017-03-14,16.888,stribro
553,2017-03-15,16.888,stribro
554,2017-03-16,17.296,stribro
555,2017-03-17,17.379,stribro
556,2017-03-20,17.403,stribro
557,2017-03-21,17.549999,stribro
